CustomerID,Customer_Segment,Acquisition_Date,Age,Gender,Job_Category,Annual_Income,Education_Level,Marital_Status,Household_Size,Product,Quantity,Unit_Price,Discount_Applied,Payment_Method,Revenue,Customer_Lifetime_Value,Profit_Margin,Loyalty_Score,Loyalty_Tier,Customer_Satisfaction,Purchase_Frequency,Days_Since_Last_Purchase,Newsletter_Subscribed,Support_Tickets,Email_Open_Rate,Social_Media_Engagement,Purchase_Date,Purchase_Hour,Season,Is_Weekend,Days_to_Next_Purchase,Churned,Churn_Risk_Score,Return_Rate,Payment_Delay_Days,Customer_Acquisition_Cost,Marketing_Channel,First_Purchase_Channel,Net_Revenue,Revenue_per_Unit,CLV_to_CAC_Ratio,Engagement_Score,Profitability_Score,Age_Group,Revenue_Tier,Seasonal_Factor,Purchase_Month,Purchase_Quarter,Purchase_Year,Days_Since_Acquisition,Acquisition_Month,Cohort_Index
C00001,Regular,2023-12-05,49,Female,Manufacturing,53900,Bachelor,Single,2,Product_C,2,40.56,0.449,Bank Transfer,236,6542,0.536,7.7,Bronze,1.0,5,4,1,0,0.072,0.187,2024-10-16,19,Winter,0,58,1,94.4,0.014,8,62,Social,Online,130.03599999999997,118.0,105.52,0.476,2.04,46-60,Low,1.4,10,4,2024,316,2023-12,10
C00002,New,2023-01-26,39,Male,IT,47557,High School,Single,2,Product_D,3,79.07,0.187,PayPal,100,4803,0.152,12.1,Bronze,1.1,13,2,1,0,0.246,0.033,2023-04-25,14,Summer,1,24,1,92.6,0.012,3,238,Email,App,81.3,33.33,20.18,0.483,0.06,31-45,Low,0.9,4,2,2023,89,2023-01,3
C00003,Regular,2023-07-01,51,Female,Other,81597,High School,Widowed,2,Product_E,3,36.91,0.071,Credit Card,207,9149,0.552,16.3,Bronze,1.2,2,19,1,1,0.141,0.319,2023-01-26,14,Summer,0,26,1,90.5,0.034,1,173,Social,Online,192.303,69.0,52.88,0.528,0.66,46-60,Low,0.9,1,1,2023,-156,2023-07,-6
C00004,Regular,2023-09-22,64,Male,Finance,100299,Bachelor,Married,3,Product_D,1,85.07,0.344,PayPal,9645,61603,0.454,40.3,Silver,5.0,5,20,1,1,0.585,0.062,2023-10-09,16,Winter,1,5,0,65.6,0.014,26,82,Search,App,6327.12,9645.0,751.26,0.583,53.4,60+,Premium,1.4,10,4,2023,17,2023-09,1
C00005,New,2023-09-15,38,Female,Other,132438,Master,Married,2,Product_E,1,64.41,0.283,Bank Transfer,1851,28342,0.348,29.7,Silver,3.0,12,32,0,0,0.165,0.048,2023-09-08,12,Winter,0,7,1,79.5,0.007,2,89,Social,Online,1327.1670000000001,1851.0,318.45,0.246,7.24,31-45,High,1.4,9,3,2023,-7,2023-09,0
C00006,VIP,2023-08-08,38,Male,Manufacturing,73299,High School,Married,3,Product_C,1,47.59,0.1,Credit Card,406,28312,0.586,25.9,Silver,1.7,1,10,1,2,0.61,0.638,2023-08-17,13,Spring,0,154,1,83.3,0.018,0,50,Social,Store,365.40000000000003,406.0,566.24,0.769,4.76,31-45,Low,1.2,8,3,2023,9,2023-08,0
C00007,New,2023-10-01,65,Non-binary,Finance,101885,Master,Married,1,Product_D,1,146.46,0.091,Bank Transfer,615,38735,0.337,38.1,Silver,2.5,9,15,0,4,0.353,0.347,2023-05-23,6,Spring,0,10,0,68.8,0.017,1,78,Search,Online,559.035,615.0,496.6,0.402,2.66,60+,Medium,1.2,5,2,2023,-131,2023-10,-5
C00008,VIP,2023-03-05,53,Male,Education,107531,Master,Married,2,Product_D,1,52.04,0.363,Digital Wallet,5176,64485,0.284,32.8,Silver,3.5,7,47,1,0,0.405,0.29,2023-04-15,19,Spring,0,13,1,75.9,0.028,19,50,Social,App,3297.112,5176.0,1289.7,0.583,29.4,46-60,Premium,1.2,4,2,2023,41,2023-03,1
C00009,New,2023-01-30,34,Female,Retail,49696,Bachelor,Married,1,Product_E,2,35.56,0.265,PayPal,132,6606,0.238,8.3,Bronze,1.0,2,11,1,2,0.301,0.139,2024-11-23,14,Summer,0,16,1,94.2,0.002,9,74,Social,Store,97.02,66.0,89.27,0.526,0.42,31-45,Low,0.9,11,4,2024,663,2023-01,22
C00010,New,2023-03-24,50,Male,Education,47504,Bachelor,Married,1,Product_B,1,32.34,0.181,PayPal,597,26744,0.754,33.6,Silver,3.2,6,44,1,0,0.3,0.365,2024-07-12,18,Summer,0,124,1,74.9,0.014,1,89,Social,Online,488.943,597.0,300.49,0.575,5.06,46-60,Medium,0.9,7,3,2024,476,2023-03,16
